,first_accuracy,first_wait,delayed,cancelled
1023,8687.0,0.0,1,0
1024,-60.0,61.0,0,0
1025,-117.0,180.0,0,0
1026,376.0,546.0,1,0
1027,,,1,0
1028,-11.0,193.0,0,0
1029,42.0,70.0,1,0
1030,638.0,0.0,0,0
1031,-90.0,2937.0,0,0
1032,-46.0,53.0,0,0
1033,,,0,0
1034,6753.0,804.0,0,1
1035,68.0,898.0,0,0
1036,81.0,2099.0,0,0
1037,450.0,593.0,0,0
1038,21.0,0.0,0,0
1039,,,0,0
1040,-83.0,910.0,0,0
1041,542.0,581.0,0,0
1042,3290.0,0.0,0,0
1043,675.0,0.0,0,0
1044,-133.0,0.0,0,0
1045,-58.0,392.0,0,0
1046,-178.0,623.0,0,0
1047,799.0,92.0,0,0
1048,,,1,0
1049,400.0,627.0,0,0
1050,-91.0,146.0,0,0
1051,-70.0,0.0,0,0
1052,-112.0,144.0,0,0
1053,161.0,0.0,1,0
1054,,,0,0
1055,-57.0,0.0,0,0
1056,,,0,0
1057,,,0,0
1058,,,0,0
1059,,,0,0
1060,606.0,95.0,0,0
1061,-59.0,240.0,0,0
1062,0.0,0.0,0,0
1063,22061.0,2687.0,0,0
1064,15330.0,44.0,0,0
1065,,,0,0
1066,-308.0,1943.0,0,0
1067,-303.0,610.0,0,0
1068,136.0,2422.0,0,0
1069,319.0,239.0,0,0
1070,555.0,344.0,1,0
1071,-140.0,0.0,0,0
1072,-18.0,0.0,0,0
1073,100.0,891.0,0,0
1074,,,0,0
1075,,,0,0
